@relation ProcessedData

@attribute text string
@attribute class {衣/上身類,衣/下身類,衣/內著類,衣/其它,衣/長衣類,行/台鐵,行/自行車,行/汽車,行/其它,行/飛機,行/高鐵,行/機車,住/水,住/瓦斯,住/其它,住/電,其它,食/水果類,食/水產類,食/肉類/牛,食/肉類/羊,食/肉類/豬,食/肉類/雞,食/豆類,食/乳品類,食/其它,食/穀類,食/油脂類,食/蛋類,食/蔬菜類}

@data
'【 初色 】 韓版 人字紋 毛呢 中長款 寬鬆 西裝領 雙排釦 長袖 大衣 外套 女 外套',衣/長衣類
'【 初色 】 韓版 赫本風 純色 中長款 直筒 寬鬆 顯 瘦 翻領 長袖 保暖 毛呢 大衣 外套 女 外套',衣/長衣類
'【 初色 】 韓版 都市風 純色 寬鬆 假 兩 件 雙排釦 口袋 西裝領 連帽 大衣 外套 女 外套',衣/長衣類
'【 初色 】 簡約 純色 翻領 單排扣 修身 顯 瘦 中長款 休閒 毛呢 大衣 外套',衣/長衣類
'【 初色 】 翻領 千 鳥 格紋 英倫風 休閒 西裝 毛呢 大衣 外套 卡其色',衣/長衣類
'【 初色 】 翻領 百搭 毛呢 休閒 大衣 外套 駝色',衣/長衣類
'【 初色 】 翻領 素色 百搭 保暖 寬鬆 顯 瘦 落肩袖 毛呢 大衣 外套 灰色',衣/長衣類
'【 初色 】 翻領 單扣 長袖 修身 中長款 西裝 外套 毛呢 大衣 休閒 外套',衣/長衣類
'【 創翊韓都 】 正韓 毛呢 外套 高領 雙排釦 羊毛 呢 大衣',衣/長衣類
'【 綻放 】 簡約 純色 翻領 單排扣 修身 顯 瘦 中長款 休閒 毛呢 大衣 外套',衣/長衣類
'FUSELLA 暖 貂絨感 羊毛 大衣',衣/長衣類
'LBL 絕世 頂規 100\% 喀什米爾 羊絨 大衣',衣/長衣類
'Studio Luxe 典藏 手作 羊毛 翻領 大衣',衣/長衣類
'牛角 扣 大衣',衣/長衣類
'羊毛 大衣',衣/長衣類
'長版 仿 皮草 大衣',衣/長衣類
'長版 羊毛 大衣',衣/長衣類
'長版 針織 毛衣',衣/長衣類
'長版 雙面 穿 大衣',衣/長衣類
'御絹坊 英國 鄧肯 100\% 羊毛 雙面呢 大衣',衣/長衣類
'溫柔感 時尚 歐美風 高質感 綿羊毛 中長版 毛尼 大衣 外套',衣/長衣類
'鋪 棉 大衣',衣/長衣類
'斷碼 福利 LBL 鉑金 100\% 羊絨 大衣',衣/長衣類
'台鐵 公司 福利票',行/台鐵
'台鐵 手工 月台票',行/台鐵
'台鐵 月台票',行/台鐵
'台鐵 平日 早鳥票',行/台鐵
'台鐵 平日 促銷票',行/台鐵
'台鐵 自行車 攜帶 票',行/台鐵
'台鐵 自助 售票機 充值',行/台鐵
'台鐵 自強號 車票',行/台鐵
'台鐵 列車 內 WiFi 使用費',行/台鐵
'台鐵 列車 內 冷飲 購買',行/台鐵
'台鐵 列車 內 便當 預訂',行/台鐵
'台鐵 行李 托運 服務',行/台鐵
'台鐵 行李 保險 服務',行/台鐵
'台鐵 車 內 點心 購買',行/台鐵
'台鐵 車站 手推車 租借',行/台鐵
'台鐵 車站 周邊 旅遊 導覽',行/台鐵
'台鐵 車站 接駁車',行/台鐵
'台鐵 車站 儲物櫃 租借',行/台鐵
'台鐵 車廂 內 咖啡 購買',行/台鐵
'台鐵 車廂 內 零食 購買',行/台鐵
'台鐵 車廂 升等',行/台鐵
'台鐵 兒童 優惠票',行/台鐵
'台鐵 臥鋪 車廂 票',行/台鐵
'台鐵 長者 優惠票',行/台鐵
'台鐵 訂 票 手續費',行/台鐵
'台鐵 便 當',行/台鐵
'台鐵 候車室 飲料 購買',行/台鐵
'台鐵 家庭 套票',行/台鐵
'台鐵 特快車 優惠票',行/台鐵
'台鐵 特殊 行程 包 車票',行/台鐵
'台鐵站 內 自動 售票機 充值',行/台鐵
'台鐵站 內 自動 售票機 購 票',行/台鐵
'台鐵站 內 便當 預購 服務',行/台鐵
'台鐵 通勤族 定期票',行/台鐵
'台鐵 郵輪式 列車票',行/台鐵
'台鐵 旅遊 套票',行/台鐵
'台鐵 區間 車票',行/台鐵
'台鐵 國際 遊客 通行卡',行/台鐵
'台鐵 票務 更改 手續費',行/台鐵
'台鐵 復興號 車票',行/台鐵
'台鐵 會員 積分 兌換 票',行/台鐵
'台鐵 節日 加班 車票',行/台鐵
'台鐵 電子 票卡 購買',行/台鐵
'台鐵 電子 票券 充值',行/台鐵
'台鐵 團體 旅遊票',行/台鐵
'台鐵 團體票',行/台鐵
'台鐵 綠島號 船車聯票',行/台鐵
'台鐵 貓空 觀光 列車票',行/台鐵
'台鐵 學生票',行/台鐵
'台鐵 鐵道 紀念品 購買',行/台鐵
'台鐵 觀光 列車',行/台鐵
'台鐵 觀光 列車 特色 便當',行/台鐵
'行 台鐵 佔位 符 1',行/台鐵
'行 台鐵 佔位 符 10',行/台鐵
'行 台鐵 佔位 符 11',行/台鐵
'行 台鐵 佔位 符 12',行/台鐵
'行 台鐵 佔位 符 13',行/台鐵
'行 台鐵 佔位 符 14',行/台鐵
'行 台鐵 佔位 符 15',行/台鐵
'行 台鐵 佔位 符 16',行/台鐵
'行 台鐵 佔位 符 17',行/台鐵
'行 台鐵 佔位 符 18',行/台鐵
'行 台鐵 佔位 符 19',行/台鐵
'行 台鐵 佔位 符 2',行/台鐵
'行 台鐵 佔位 符 20',行/台鐵
'行 台鐵 佔位 符 21',行/台鐵
'行 台鐵 佔位 符 22',行/台鐵
'行 台鐵 佔位 符 23',行/台鐵
'行 台鐵 佔位 符 24',行/台鐵
'行 台鐵 佔位 符 25',行/台鐵
'行 台鐵 佔位 符 26',行/台鐵
'行 台鐵 佔位 符 27',行/台鐵
'行 台鐵 佔位 符 28',行/台鐵
'行 台鐵 佔位 符 29',行/台鐵
'行 台鐵 佔位 符 3',行/台鐵
'行 台鐵 佔位 符 30',行/台鐵
'行 台鐵 佔位 符 31',行/台鐵
'行 台鐵 佔位 符 32',行/台鐵
'行 台鐵 佔位 符 33',行/台鐵
'行 台鐵 佔位 符 34',行/台鐵
'行 台鐵 佔位 符 35',行/台鐵
'行 台鐵 佔位 符 36',行/台鐵
'行 台鐵 佔位 符 37',行/台鐵
'行 台鐵 佔位 符 38',行/台鐵
'行 台鐵 佔位 符 39',行/台鐵
'行 台鐵 佔位 符 4',行/台鐵
'行 台鐵 佔位 符 40',行/台鐵
'行 台鐵 佔位 符 41',行/台鐵
'行 台鐵 佔位 符 42',行/台鐵
'行 台鐵 佔位 符 43',行/台鐵
'行 台鐵 佔位 符 44',行/台鐵
'行 台鐵 佔位 符 45',行/台鐵
'行 台鐵 佔位 符 46',行/台鐵
'行 台鐵 佔位 符 47',行/台鐵
'行 台鐵 佔位 符 48',行/台鐵
'行 台鐵 佔位 符 49',行/台鐵
'行 台鐵 佔位 符 5',行/台鐵
'行 台鐵 佔位 符 50',行/台鐵
'行 台鐵 佔位 符 6',行/台鐵
'行 台鐵 佔位 符 7',行/台鐵
'行 台鐵 佔位 符 8',行/台鐵
'行 台鐵 佔位符 9',行/台鐵
'自行車 反光條 購買',行/自行車
'自行車 手把 維護',行/自行車
'自行車 手電筒',行/自行車
'自行車 手機 支架 購買',行/自行車
'自行車 水壺架 固定器',行/自行車
'自行車 水壺架 購買',行/自行車
'自行車 水壺座 安裝',行/自行車
'自行車 打氣站 費用',行/自行車
'自行車 打氣筒 購買',行/自行車
'自行車 防水 車包 購買',行/自行車
'自行車 防水車 罩',行/自行車
'自行車 防盜 設備 安裝',行/自行車
'自行車 防曬 座墊',行/自行車
'自行車 行李架 購買',行/自行車
'自行車 折疊鎖 購買',行/自行車
'自行車 車架 維修',行/自行車
'自行車 車座 升級',行/自行車
'自行車 車座套 購買',行/自行車
'自行車 車座 海綿墊',行/自行車
'自行車 車鈴 更換',行/自行車
'自行車 車鈴 購買',行/自行車
'自行車 車輪 軸承 購買',行/自行車
'自行車 車燈 安裝 服務',行/自行車
'自行車 車燈 更換',行/自行車
'自行車 兒童 座椅 維修',行/自行車
'自行車 兒童 座椅 購買',行/自行車
'自行車 夜間 反光條',行/自行車
'自行車 修理 工具組',行/自行車
'自行車 剎車線 維修',行/自行車
'自行車 風鏡',行/自行車
'自行車 停車架 安裝',行/自行車
'自行車 專用 工具組',行/自行車
'自行車 專用 車架 安裝',行/自行車
'自行車 專用 車廂',行/自行車
'自行車 專用 踏板',行/自行車
'自行車 專用 頭盔',行/自行車
'自行車 專用 鎖',行/自行車
'自行車 專用 騎行襪',行/自行車
'自行車 專業 手套',行/自行車
'自行車 專業 維修 工具',行/自行車
'自行車 運動 手套',行/自行車
'自行車 運動 眼鏡 購買',行/自行車
'自行車 腳踏板 更換',行/自行車
'自行車 摺疊 工具包',行/自行車
'自行車 碟煞 更換',行/自行車
'自行車 碼表',行/自行車
'自行車 輪胎 防滑 胎 購買',行/自行車
'自行車 輪胎 更換',行/自行車
'自行車 輪胎 氣嘴',行/自行車
'自行車 擋泥板 安裝',行/自行車
'自行車 燈具 購買',行/自行車
'自行車 避震 系統 升級',行/自行車
'自行車 避震器 升級',行/自行車
'自行車 鏈條 清潔 工具',行/自行車
'自行車 鏈條 潤滑劑',行/自行車
'自行車 鏈條 潤滑劑 購買',行/自行車
'自行車 騎行 眼鏡',行/自行車
'自行車 變速 系統 調整',行/自行車
'自行車 變速器 更換',行/自行車
'自行車 變速器 調整 服務',行/自行車
'行 自行車 佔位 符 1',行/自行車
'行 自行車 佔位 符 10',行/自行車
'行 自行車 佔位 符 11',行/自行車
'行 自行車 佔位 符 12',行/自行車
'行 自行車 佔位 符 13',行/自行車
'行 自行車 佔位 符 14',行/自行車
'行 自行車 佔位 符 15',行/自行車
'行 自行車 佔位 符 16',行/自行車
'行 自行車 佔位 符 17',行/自行車
'行 自行車 佔位 符 18',行/自行車
'行 自行車 佔位 符 19',行/自行車
'行 自行車 佔位 符 2',行/自行車
'行 自行車 佔位 符 20',行/自行車
'行 自行車 佔位 符 21',行/自行車
'行 自行車 佔位 符 22',行/自行車
'行 自行車 佔位 符 23',行/自行車
'行 自行車 佔位 符 24',行/自行車
'行 自行車 佔位 符 25',行/自行車
'行 自行車 佔位 符 26',行/自行車
'行 自行車 佔位 符 27',行/自行車
'行 自行車 佔位 符 28',行/自行車
'行 自行車 佔位 符 29',行/自行車
'行 自行車 佔位 符 3',行/自行車
'行 自行車 佔位 符 30',行/自行車
'行 自行車 佔位 符 31',行/自行車
'行 自行車 佔位 符 32',行/自行車
'行 自行車 佔位 符 33',行/自行車
'行 自行車 佔位 符 34',行/自行車
'行 自行車 佔位 符 35',行/自行車
'行 自行車 佔位 符 36',行/自行車
'行 自行車 佔位 符 37',行/自行車
'行 自行車 佔位 符 38',行/自行車
'行 自行車 佔位 符 39',行/自行車
'行 自行車 佔位 符 4',行/自行車
'行 自行車 佔位 符 40',行/自行車
'行 自行車 佔位 符 41',行/自行車
'行 自行車 佔位 符 42',行/自行車
'行 自行車 佔位 符 43',行/自行車
'行 自行車 佔位 符 44',行/自行車
'行 自行車 佔位 符 45',行/自行車
'行 自行車 佔位 符 46',行/自行車
'行 自行車 佔位 符 47',行/自行車
'行 自行車 佔位 符 48',行/自行車
'行 自行車 佔位 符 49',行/自行車
'行 自行車 佔位 符 5',行/自行車
'行 自行車 佔位 符 50',行/自行車
'行 自行車 佔位 符 6',行/自行車
'行 自行車 佔位符 7',行/自行車
'行 自行車 佔位 符 8',行/自行車
'行 自行車 佔位符 9',行/自行車
'【 KEROPUR 快樂 跑 】 全新 升級 配方 汽油 添加劑',行/汽車
'自助 洗車機 使用費',行/汽車
'行 汽車 佔位符 1',行/汽車
'行 汽車 佔位 符 10',行/汽車
'行 汽車 佔位 符 11',行/汽車
'行 汽車 佔位 符 12',行/汽車
'行 汽車 佔位 符 13',行/汽車
'行 汽車 佔位 符 14',行/汽車
'行 汽車 佔位 符 15',行/汽車
'行 汽車 佔位 符 16',行/汽車
'行 汽車 佔位 符 17',行/汽車
'行 汽車 佔位 符 18',行/汽車
'行 汽車 佔位 符 19',行/汽車
'行 汽車 佔位符 2',行/汽車
'行 汽車 佔位符 20',行/汽車
'行 汽車 佔位符 21',行/汽車
'行 汽車 佔位符 22',行/汽車
'行 汽車 佔位符 23',行/汽車
'行 汽車 佔位符 24',行/汽車
'行 汽車 佔位 符 25',行/汽車
'行 汽車 佔位 符 26',行/汽車
'行 汽車 佔位 符 27',行/汽車
'行 汽車 佔位 符 28',行/汽車
'行 汽車 佔位符 29',行/汽車
'行 汽車 佔位符 3',行/汽車
'行 汽車 佔位 符 30',行/汽車
'行 汽車 佔位 符 31',行/汽車
'行 汽車 佔位符 32',行/汽車
'行 汽車 佔位符 33',行/汽車
'行 汽車 佔位符 34',行/汽車
'行 汽車 佔位 符 35',行/汽車
'行 汽車 佔位 符 36',行/汽車
'行 汽車 佔位 符 37',行/汽車
'行 汽車 佔位 符 38',行/汽車
'行 汽車 佔位 符 39',行/汽車
'行 汽車 佔位符 4',行/汽車
'行 汽車 佔位 符 40',行/汽車
'行 汽車 佔位 符 41',行/汽車
'行 汽車 佔位符 42',行/汽車
'行 汽車 佔位符 43',行/汽車
'行 汽車 佔位符 44',行/汽車
'行 汽車 佔位符 45',行/汽車
'行 汽車 佔位 符 46',行/汽車
'行 汽車 佔位 符 47',行/汽車
'行 汽車 佔位 符 48',行/汽車
'行 汽車 佔位符 49',行/汽車
'行 汽車 佔位符 5',行/汽車
'行 汽車 佔位 符 50',行/汽車
'行 汽車 佔位符 6',行/汽車
'行 汽車 佔位符 7',行/汽車
'行 汽車 佔位符 8',行/汽車
'行 汽車 佔位符 9',行/汽車
'汽車 GPS 導航 系統 購買',行/汽車
'汽車 內飾 氛圍燈 安裝',行/汽車
'汽車 內飾 除味 服務',行/汽車
'汽車 內飾 清潔 服務',行/汽車
'汽車 加油',行/汽車
'汽車 打蠟 美容',行/汽車
'汽車 年檢 排放 測試費',行/汽車
'汽車 年檢 費用',行/汽車
'汽車 行車 記錄器 購買',行/汽車
'汽車 行李箱 內 墊 購買',行/汽車
'汽車 車 內 香氛 擴散器',行/汽車
'汽車 車頂 行李架 安裝',行/汽車
'汽車 車窗 防爆膜 貼膜',行/汽車
'汽車 冷氣 維修',行/汽車
'汽車 冷氣 濾網 更換',行/汽車
'汽車 刮水器 更換',行/汽車
'汽車 空調 系統 清洗',行/汽車
'汽車 雨刷 更換',行/汽車
'汽車 保養',行/汽車
'汽車 剎車盤 維修',行/汽車
'汽車 後備箱 儲物箱 購買',行/汽車
'汽車 美容',行/汽車
'汽車 胎壓 監測 設備 購買',行/汽車
'汽車 音響 設備 升級',行/汽車
'汽車 香氛片',行/汽車
'汽車 租賃',行/汽車
'汽車 停車費',行/汽車
'汽車 頂架 安裝',行/汽車
'汽車 暖風 系統 檢修',行/汽車
'汽車 遙控器 購買',行/汽車
'汽車 電子 狗 購買',行/汽車
'汽車 電瓶 充電 服務',行/汽車
'汽車 電瓶 更換',行/汽車
'汽車 電動窗 維修費',行/汽車
'汽車 駕駛座 靠墊 購買',行/汽車
'汽車 輪胎 平衡 調整',行/汽車
'汽車 輪胎 充氣 服務',行/汽車
'汽車 輪圈 更換',行/汽車
'汽車 擋風 玻璃 修補 費',行/汽車
'汽車 擋風 玻璃 修復',行/汽車
'汽車 機油 更換',行/汽車
'汽車 機油 添加 劑',行/汽車
'汽車 避震器 更換',行/汽車
'汽車 應急 電源 購買',行/汽車
'汽車 鑰匙 電池 更換',行/汽車
'車 內 USB 充電 裝置 購買',行/汽車
'車 內 手機 無線 充電 設備',行/汽車
'車 內 地毯 清洗 服務',行/汽車
'車 內 空氣 清新 劑 購買',行/汽車
'車 內 急救箱 購買',行/汽車
'車 內 除濕袋 購買',行/汽車
'車 內 導航 系統 更新',行/汽車
'車用 手機 支架 購買',行/汽車
'車用 吸塵器 購買',行/汽車
'車窗 隔熱紙 貼膜',行/汽車
'車輛 拖吊 服務',行/汽車
'車輛 臨時 泊車費',行/汽車
'高速 公路 服務區 停車費',行/汽車
'高速 公路 計次票 購買',行/汽車
'高速 公路 過路費',行/汽車
'電動車 充電 服務',行/汽車
'95 Plus 無鉛',行/其它
'95 無鉛',行/其它
'95 無 鉛 汽油',行/其它
'95 無 鉛 汽油',行/其它
'98 無 鉛 汽油',行/其它
'Parking fee',行/其它
'九二 無 鉛 汽油',行/其它
'九八 無鉛',行/其它
'九八 無 鉛 汽油',行/其它
'九五 無 鉛 汽油',行/其它
'市區 小型 巴士票',行/其它
'共享 汽車 短租費',行/其它
'共享 電動 腳踏車 租借費',行/其它
'共享 電動 滑板車 費用',行/其它
'行 其他 佔位符 1',行/其它
'行 其他 佔位符 10',行/其它
'行 其他 佔位符 11',行/其它
'行 其他 佔位符 12',行/其它
'行 其他 佔位符 13',行/其它
'行 其他 佔位符 14',行/其它
'行 其他 佔位符 15',行/其它
'行 其他 佔位符 16',行/其它
'行 其他 佔位 符 17',行/其它
'行 其他 佔位 符 18',行/其它
'行 其他 佔位符 19',行/其它
'行 其他 佔位符 2',行/其它
'行 其他 佔位符 20',行/其它
'行 其他 佔位符 21',行/其它
'行 其他 佔位符 22',行/其它
'行 其他 佔位符 23',行/其它
'行 其他 佔位符 24',行/其它
'行 其他 佔位符 25',行/其它
'行 其他 佔位符 26',行/其它
'行 其他 佔位符 27',行/其它
'行 其他 佔位符 28',行/其它
'行 其他 佔位符 29',行/其它
'行 其他 佔位符 3',行/其它
'行 其他 佔位符 30',行/其它
'行 其他 佔位符 31',行/其它
'行 其他 佔位符 32',行/其它
'行 其他 佔位符 33',行/其它
'行 其他 佔位符 34',行/其它
'行 其他 佔位符 35',行/其它
'行 其他 佔位符 36',行/其它
'行 其他 佔位符 37',行/其它
'行 其他 佔位符 38',行/其它
'行 其他 佔位符 39',行/其它
'行 其他 佔位符 4',行/其它
'行 其他 佔位符 40',行/其它
'行 其他 佔位符 41',行/其它
'行 其他 佔位符 42',行/其它
'行 其他 佔位符 43',行/其它
'行 其他 佔位符 44',行/其它
'行 其他 佔位符 45',行/其它
'行 其他 佔位符 46',行/其它
'行 其他 佔位符 47',行/其它
'行 其他 佔位符 48',行/其它
'行 其他 佔位符 49',行/其它
'行 其他 佔位符 5',行/其它
'行 其他 佔位符 50',行/其它
'行 其他 佔位 符 6',行/其它
'行 其他 佔位符 7',行/其它
'行 其他 佔位符 8',行/其它
'行 其他 佔位符 9',行/其它
'夜間 巴士票',行/其它
'夜間 計程車 加成費',行/其它
'夜間 接送 服務費',行/其它
'長途 大巴 車票',行/其它
'長途 大巴 超重 行李費',行/其它
'長途 大巴 豪華 座票',行/其它
'城市 交通 一卡通 充值',行/其它
'城市 共享 電動 滑板車 租賃',行/其它
'城市 輕軌 車票',行/其它
'城市 觀光 小 火車票',行/其它
'城市 觀光 巴士票',行/其它
'客運 車 內 飲料 購買',行/其它
'客運 車票',行/其它
'客運站 內 自動 售票機 購 票',行/其它
'客運站 內 行李 寄放 費',行/其它
'客運 提早 訂 票 折扣',行/其它
'計程車 車資',行/其它
'計程車 拼車 服務',行/其它
'計程車 預約 服務費',行/其它
'計程車 預約費',行/其它
'租 車 服務',行/其它
'高山 滑雪 纜車票',行/其它
'高速 客運 包 月票',行/其它
'旅遊 大巴 臨時 購票費',行/其它
'旅遊 巴士 行程',行/其它
'旅遊 巴士 私人 包車',行/其它
'旅遊 巴士 車票 折扣券',行/其它
'旅遊 巴士 票',行/其它
'旅遊 巴士 導遊 服務費',行/其它
'旅遊 巴士 導覽 行程',行/其它
'旅遊 租 車 保險 費用',行/其它
'旅遊 接駁 專車 費用',行/其它
'旅遊 景點 接駁 巴士票',行/其它
'旅遊 景點 接駁 車票',行/其它
'停車場 月租費',行/其它
'停車場 月票',行/其它
'停車場 收入',行/其它
'停車場 費用',行/其它
'停車場 超時 罰款',行/其它
停車費,行/其它
'停車 費用',行/其它
'移動 電源 租借',行/其它
'短程 電動車 租借費',行/其它
'遊覽車 包車 服務',行/其它
'業 外 收入 . 停車場 新光三越 停車場 收入',行/其它
'跨境 大巴 車票',行/其它
'電動 代步車 租賃費',行/其它
'路 邊 停車 計時 收費',行/其它
'路 邊 停車場 計時費',行/其它
'路 邊 停車場 掃碼 繳費',行/其它
'豪華 郵輪 船票',行/其它
'豪華 遊艇 包船 服務',行/其它
'碼頭 貨物 托運 服務',行/其它
'碼頭 渡輪票',行/其它
'碼頭 輪渡 車票',行/其它
'碼頭 輪渡 船票',行/其它
'騎行 共享 單車 費用',行/其它
'觀光 火車票',行/其它
'觀光 遊覽車 租賃費',行/其它
'觀光 遊覽 船票',行/其它
'觀光 纜車票',行/其它
'行飛機 佔位符 1',行/飛機
'行飛機 佔位符 10',行/飛機
'行飛機 佔位符 11',行/飛機
'行飛機 佔位符 12',行/飛機
'行飛機 佔位符 13',行/飛機
'行飛機 佔位符 14',行/飛機
'行飛機 佔位符 15',行/飛機
'行飛機 佔位符 16',行/飛機
'行飛機 佔位 符 17',行/飛機
'行飛機 佔位 符 18',行/飛機
'行飛機 佔位符 19',行/飛機
'行飛機 佔位符 2',行/飛機
'行飛機 佔位符 20',行/飛機
'行飛機 佔位符 21',行/飛機
'行飛機 佔位符 22',行/飛機
'行飛機 佔位符 23',行/飛機
'行飛機 佔位符 24',行/飛機
'行飛機 佔位符 25',行/飛機
'行飛機 佔位符 26',行/飛機
'行飛機 佔位符 27',行/飛機
'行飛機 佔位符 28',行/飛機
'行飛機 佔位符 29',行/飛機
'行飛機 佔位符 3',行/飛機
'行飛機 佔位符 30',行/飛機
'行飛機 佔位符 31',行/飛機
'行飛機 佔位符 32',行/飛機
'行飛機 佔位符 33',行/飛機
'行飛機 佔位符 34',行/飛機
'行飛機 佔位符 35',行/飛機
'行飛機 佔位符 36',行/飛機
'行飛機 佔位符 37',行/飛機
'行飛機 佔位符 38',行/飛機
'行飛機 佔位符 39',行/飛機
'行飛機 佔位符 4',行/飛機
'行飛機 佔位符 40',行/飛機
'行飛機 佔位符 41',行/飛機
'行飛機 佔位符 42',行/飛機
'行飛機 佔位符 43',行/飛機
'行飛機 佔位符 44',行/飛機
'行飛機 佔位符 45',行/飛機
'行飛機 佔位符 46',行/飛機
'行飛機 佔位符 47',行/飛機
'行飛機 佔位符 48',行/飛機
'行飛機 佔位符 49',行/飛機
'行飛機 佔位符 5',行/飛機
'行飛機 佔位符 50',行/飛機
'行飛機 佔位符 6',行/飛機
'行飛機 佔位符 7',行/飛機
'行飛機 佔位符 8',行/飛機
'行飛機 佔位符 9',行/飛機
'飛機 延誤 保險 購買',行/飛機
'飛機 行李 加購 額度',行/飛機
'飛機 行李 超重 費用',行/飛機
'飛機 行李箱 標籤 購買',行/飛機
'飛機 行李 額度 加購',行/飛機
'飛機 快速 登機 通道 費用',行/飛機
'飛機 商務艙 貴賓室 使用',行/飛機
'飛機票 升等 手續費',行/飛機
'飛機票 改期 手續費',行/飛機
'飛機票 退票 費用',行/飛機
'飛機 票務 代理 服務費',行/飛機
'飛機 登機牌 補發 手續費',行/飛機
'飛機 會員 積分 兌換 手續費',行/飛機
'飛機 機 上 WiFi 使用費',行/飛機
'飛機 機 上 充電 設備 租借',行/飛機
'飛機機 上 耳機 購買',行/飛機
'飛機 機 上 免稅品 購買',行/飛機
'飛機 機 上 即時 翻譯 服務',行/飛機
'飛機 機 上 急救 藥品 購買',行/飛機
'飛機 機 上 按摩椅 使用費',行/飛機
'飛機 機 上 書籍 購買',行/飛機
'飛機 機 上 電影 付費',行/飛機
'飛機 機 上 閱讀燈 租借',行/飛機
'飛機 機 上 餐飲 購買',行/飛機
'飛機 機 上 餐點 升級',行/飛機
'飛機 機 上 購物',行/飛機
'飛機 頭等艙 升等 費用',行/飛機
'飛機 頭等艙 休息室 使用',行/飛機
'飛機 頭等艙 行李 優先 服務',行/飛機
'飛機 臨時票',行/飛機
'飛機 寵物 托運 服務',行/飛機
'飛機 寵物籠 租借 服務',行/飛機
'託運 行李 費用',行/飛機
'國內 機票',行/飛機
'國際 航班 登機 行李 超重費',行/飛機
'國際 機票',行/飛機
'機場 VIP 停車場 使用費',行/飛機
'機場 中轉 酒店 住宿',行/飛機
'機場 巴士 接送 服務',行/飛機
'機場 交通 接駁',行/飛機
'機場 休息室 淋浴 服務',行/飛機
'機場 行李 打包 服務',行/飛機
'機場 行李 打包 塑膜 服務',行/飛機
'機場 行李 推車 租賃',行/飛機
'機場 行李箱 打包膜',行/飛機
'機場 免費 WiFi 升級 服務',行/飛機
'機場 快速 通關 服務',行/飛機
'機場 航廈 停車費',行/飛機
'機場 接駁 巴士票',行/飛機
'機場 接駁車 服務',行/飛機
'機場 接駁 車票',行/飛機
'機場 貴賓室 消費',行/飛機
'機場 餐飲 消費',行/飛機
'行 高鐵 佔位符 1',行/高鐵
'行 高鐵 佔位符 10',行/高鐵
'行 高鐵 佔位 符 11',行/高鐵
'行 高鐵 佔位 符 12',行/高鐵
'行 高鐵 佔位 符 13',行/高鐵
'行 高鐵 佔位 符 14',行/高鐵
'行 高鐵 佔位 符 15',行/高鐵
'行 高鐵 佔位 符 16',行/高鐵
'行 高鐵 佔位 符 17',行/高鐵
'行 高鐵 佔位 符 18',行/高鐵
'行 高鐵 佔位 符 19',行/高鐵
'行 高鐵 佔位符 2',行/高鐵
'行 高鐵 佔位符 20',行/高鐵
'行 高鐵 佔位符 21',行/高鐵
'行 高鐵 佔位符 22',行/高鐵
'行 高鐵 佔位符 23',行/高鐵
'行 高鐵 佔位符 24',行/高鐵
'行 高鐵 佔位符 25',行/高鐵
'行 高鐵 佔位 符 26',行/高鐵
'行 高鐵 佔位 符 27',行/高鐵
'行 高鐵 佔位 符 28',行/高鐵
'行 高鐵 佔位符 29',行/高鐵
'行 高鐵 佔位符 3',行/高鐵
'行 高鐵 佔位符 30',行/高鐵
'行 高鐵 佔位 符 31',行/高鐵
'行 高鐵 佔位符 32',行/高鐵
'行 高鐵 佔位符 33',行/高鐵
'行 高鐵 佔位符 34',行/高鐵
'行 高鐵 佔位 符 35',行/高鐵
'行 高鐵 佔位 符 36',行/高鐵
'行 高鐵 佔位 符 37',行/高鐵
'行 高鐵 佔位 符 38',行/高鐵
'行 高鐵 佔位 符 39',行/高鐵
'行 高鐵 佔位符 4',行/高鐵
'行 高鐵 佔位符 40',行/高鐵
'行 高鐵 佔位符 41',行/高鐵
'行 高鐵 佔位符 42',行/高鐵
'行 高鐵 佔位符 43',行/高鐵
'行 高鐵 佔位符 44',行/高鐵
'行 高鐵 佔位符 45',行/高鐵
'行 高鐵 佔位 符 46',行/高鐵
'行 高鐵 佔位 符 47',行/高鐵
'行 高鐵 佔位 符 48',行/高鐵
'行 高鐵 佔位 符 49',行/高鐵
'行 高鐵 佔位符 5',行/高鐵
'行 高鐵 佔位 符 50',行/高鐵
'行 高鐵 佔位符 6',行/高鐵
'行 高鐵 佔位符 7',行/高鐵
'行 高鐵 佔位符 8',行/高鐵
'行 高鐵 佔位符 9',行/高鐵
'高鐵 VIP 會員 年卡',行/高鐵
'高鐵 公司 年票',行/高鐵
'高鐵 公司 團體票',行/高鐵
'高鐵 月台 拍攝 許可',行/高鐵
'高鐵 月票',行/高鐵
'高鐵 早鳥票',行/高鐵
'高鐵 早鳥 優惠票',行/高鐵
'高鐵 自由座 升級 為 指定 座位',行/高鐵
'高鐵 自由座 車票',行/高鐵
'高鐵 自助 售票機 購 票',行/高鐵
'高鐵 年票',行/高鐵
'高鐵 列車 內 購物',行/高鐵
'高鐵 行李車廂 預訂',行/高鐵
'高鐵 行李 託運費',行/高鐵
'高鐵 行李 寄存 費',行/高鐵
'高鐵 行李 超大 件 費用',行/高鐵
'高鐵 車站 寄 物 服務',行/高鐵
'高鐵 車票',行/高鐵
'高鐵 兒童 車廂 票',行/高鐵
